"Step","sbmconsistencylessnoise - f_change_ratio","sbmconsistencylessnoise - f_change_ratio__MIN","sbmconsistencylessnoise - f_change_ratio__MAX","sbmconsistency - f_change_ratio","sbmconsistency - f_change_ratio__MIN","sbmconsistency - f_change_ratio__MAX"
"20004","0.017397959250956774","0.008755101822316647","0.0260408166795969","0.07297959178686142","0.07297959178686142","0.07297959178686142"
"40008","0.013928571483120322","0.004857142921537161","0.023000000044703484","0.0671224519610405","0.0671224519610405","0.0671224519610405"
"60012","0.010081632994115353","0","0.020163265988230705","0.06565306335687637","0.06565306335687637","0.06565306335687637"
"80016","0.009142857044935226","0","0.018285714089870453","0.06340816617012024","0.06340816617012024","0.06340816617012024"
"100020","0.008479591459035873","0","0.016959182918071747","0.06220408156514168","0.06220408156514168","0.06220408156514168"
"120024","0.007846938446164131","0","0.015693876892328262","0.06093877553939819","0.06093877553939819","0.06093877553939819"
"140028","0.007255102042108774","0","0.014510204084217548","0.06026530638337135","0.06026530638337135","0.06026530638337135"
"160032","0.006520408205688","0","0.013040816411376","0.058306124061346054","0.058306124061346054","0.058306124061346054"
"180036","0.005785714369267225","0","0.01157142873853445","0.057224489748477936","0.057224489748477936","0.057224489748477936"
"200040","0.0051428573206067085","0","0.010285714641213417","0.05518367514014244","0.05518367514014244","0.05518367514014244"
"220044","0.004336734768003225","0","0.00867346953600645","0.05397959053516388","0.05397959053516388","0.05397959053516388"
"240048","0.003285714192315936","0","0.006571428384631872","0.052877552807331085","0.052877552807331085","0.052877552807331085"
"260052","0.002418367424979806","0","0.004836734849959612","0.052673470228910446","0.052673470228910446","0.052673470228910446"
"280056","0","0","0","0.052040815353393555","0.052040815353393555","0.052040815353393555"
"300060","0","0","0","0.051673468202352524","0.051673468202352524","0.051673468202352524"
"320064","0","0","0","0.05079592019319534","0.05079592019319534","0.05079592019319534"
"340068","0","0","0","0.04989795759320259","0.04989795759320259","0.04989795759320259"
"360072","0","0","0","0.04942857101559639","0.04942857101559639","0.04942857101559639"
"380076","0","0","0","","",""
"400080","0","0","0","","",""
"420084","0","0","0","","",""
"440088","0","0","0","","",""
"460092","0","0","0","","",""
"480096","0","0","0","","",""
"500100","0","0","0","","",""
"520104","0","0","0","","",""
"540108","0","0","0","","",""
"560112","0","0","0","","",""
"580116","0","0","0","","",""
