"Step","planarconsistency - f_change_ratio","planarconsistency - f_change_ratio__MIN","planarconsistency - f_change_ratio__MAX"
"20004","0.07987754791975021","0.07987754791975021","0.07987754791975021"
"40008","0.07848979532718658","0.07848979532718658","0.07848979532718658"
"60012","0.07908163219690323","0.07908163219690323","0.07908163219690323"
"80016","0.07569387555122375","0.07569387555122375","0.07569387555122375"
"100020","0.07402040809392929","0.07402040809392929","0.07402040809392929"
"120024","0.06663265079259872","0.06663265079259872","0.06663265079259872"
"140028","0.06363265216350555","0.06363265216350555","0.06363265216350555"
"160032","0.05853061378002167","0.05853061378002167","0.05853061378002167"
"180036","0.051734693348407745","0.051734693348407745","0.051734693348407745"
"200040","0.043244898319244385","0.043244898319244385","0.043244898319244385"
"220044","0.0361836738884449","0.0361836738884449","0.0361836738884449"
"240048","0.028122449293732643","0.028122449293732643","0.028122449293732643"
"260052","0.017816325649619102","0.017816325649619102","0.017816325649619102"
"280056","0.009530612267553806","0.009530612267553806","0.009530612267553806"
"300060","0.003163265297189355","0.003163265297189355","0.003163265297189355"
"320064","0.0008979591657407582","0.0008979591657407582","0.0008979591657407582"
"340068","0","0","0"
"360072","0","0","0"
"380076","0","0","0"
"400080","0","0","0"
"420084","0","0","0"
"440088","0","0","0"
"460092","0","0","0"
